presetName,k,solverName,clauseNumber,clauseTime,satTime,totalTime
icosagon,15,solve,38760,35.10000002384186,4.299999952316284,39.39999997615814
icosagon,15,solve_alt,4965,7.200000047683716,1.0999999642372131,8.300000011920929
icosagon,16,solve,15504,13.900000035762787,0.5,14.400000035762787
icosagon,16,solve_alt,5456,1.600000023841858,1.300000011920929,2.900000035762787
icosagon,17,solve,4845,3.699999988079071,0.19999998807907104,3.899999976158142
icosagon,17,solve_alt,5967,1.800000011920929,2.800000011920929,4.600000023841858
icosagon,18,solve,1140,0.5999999642372131,0.10000002384185791,0.699999988079071
icosagon,18,solve_alt,6498,2.800000011920929,0.8999999761581421,3.699999988079071
icosagon,19,solve,190,0.10000002384185791,0,0.10000002384185791
icosagon,19,solve_alt,7049,2.299999952316284,3.200000047683716,5.5
icosagon,20,solve,20,0.09999996423721313,0,0.09999996423721313
